"filename", "language", "TypeScript", "TypeScript React", "CSS", "JSON with Comments", "Markdown", "Log", "JSON", "HTML", "comment", "blank", "total"
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/README.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 7
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 27243, 0, 0, 1, 27244
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/package.json", "JSON", 0, 0, 0, 0, 0, 0, 62, 0, 0, 1, 63
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/public/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 67, 0, 0, 1, 68
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/App.tsx", "TypeScript React", 0, 96, 0, 0, 0, 0, 0, 0, 2, 13, 111
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/App/BuildPane.tsx", "TypeScript React", 0, 77, 0, 0, 0, 0, 0, 0, 0, 8, 85
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/App/ConfirmOnUnload.tsx", "TypeScript React", 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/App/EditSidebar.tsx", "TypeScript React", 0, 333, 0, 0, 0, 0, 0, 0, 2, 23, 358
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/App/ExecuteSidebar.tsx", "TypeScript React", 0, 240, 0, 0, 0, 0, 0, 0, 3, 20, 263
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/App/Fabs.tsx", "TypeScript React", 0, 46, 0, 0, 0, 0, 0, 0, 15, 5, 66
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/App/Guide.tsx", "TypeScript React", 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/App/Header.tsx", "TypeScript React", 0, 386, 0, 0, 0, 0, 0, 0, 6, 26, 418
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/App/KeyboardHotkeys.tsx", "TypeScript React", 0, 21, 0, 0, 0, 0, 0, 0, 0, 9, 30
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/App/MemoryVariablePane.tsx", "TypeScript React", 0, 103, 0, 0, 0, 0, 0, 0, 0, 7, 110
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/App/NoneVariablePane.tsx", "TypeScript React", 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/App/ProgramConvertView.tsx", "TypeScript React", 0, 55, 0, 0, 0, 0, 0, 0, 0, 5, 60
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/App/SideBar.tsx", "TypeScript React", 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/App/TableVariablePane.tsx", "TypeScript React", 0, 64, 0, 0, 0, 0, 0, 0, 2, 3, 69
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/App/UtilDialog.tsx", "TypeScript React", 0, 37, 0, 0, 0, 0, 0, 0, 0, 6, 43
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/App/VariableDialog.tsx", "TypeScript React", 0, 79, 0, 0, 0, 0, 0, 0, 0, 16, 95
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/App/VariablePane.tsx", "TypeScript React", 0, 38, 0, 0, 0, 0, 0, 0, 0, 4, 42
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/util/AppDialog.tsx", "TypeScript React", 0, 45, 0, 0, 0, 0, 0, 0, 5, 5, 55
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/util/ConfirmDialog.tsx", "TypeScript React", 0, 62, 0, 0, 0, 0, 0, 0, 11, 5, 78
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/util/ErrorView.tsx", "TypeScript React", 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/util/OnlyEditMode.tsx", "TypeScript React", 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/util/OnlyExeMode.tsx", "TypeScript React", 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/components/util/TitleAccordion.tsx", "TypeScript React", 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/execute/eval.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 202, 9, 264
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/execute/runtime/MsgRuntime.tsx", "TypeScript React", 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/execute/runtime/Runtime.tsx", "TypeScript React", 0, 296, 0, 0, 0, 0, 0, 0, 19, 29, 344
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/execute/runtime/TestRuntime.tsx", "TypeScript React", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 8
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/execute/runtime/index.tsx", "TypeScript React", 0, 19, 0, 0, 0, 0, 0, 0, 3, 9, 31
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/execute/runtime/types.tsx", "TypeScript React", 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/execute/variables.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/format/index.ts", "TypeScript", 98, 0, 0, 0, 0, 0, 0, 0, 0, 10, 108
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/index.tsx", "TypeScript React", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/base/SymBase.tsx", "TypeScript React", 0, 192, 0, 0, 0, 0, 0, 0, 0, 12, 204
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/base/itemBaseCreator.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/base/optionCreator.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/calc/CalcSym.tsx", "TypeScript React", 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/calc/creator.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/calc/execute.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 1, 4, 31
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/execute.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 8, 7, 29
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/flow/Arrow.tsx", "TypeScript React", 0, 88, 0, 0, 0, 0, 0, 0, 13, 7, 108
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/flow/ChildSym.tsx", "TypeScript React", 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/flow/Flow.tsx", "TypeScript React", 0, 47, 0, 0, 0, 0, 0, 0, 0, 10, 57
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/flow/creator.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/flow/execute.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/for/ForSym.tsx", "TypeScript React", 0, 66, 0, 0, 0, 0, 0, 0, 0, 7, 73
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/for/creator.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/for/execute.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 28, 9, 110
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/if/IfSym.tsx", "TypeScript React", 0, 151, 0, 0, 0, 0, 0, 0, 0, 9, 160
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/if/creator.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/if/execute.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 3, 4, 42
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/input/InputSym.tsx", "TypeScript React", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/input/creator.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/input/execute.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/option.tsx", "TypeScript React", 0, 96, 0, 0, 0, 0, 0, 0, 4, 15, 115
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/output/OutputSym.tsx", "TypeScript React", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/output/creator.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/output/execute.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/prepare/PrepareSym.tsx", "TypeScript React", 0, 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/prepare/creator.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/prepare/execute.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 7, 54
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/process/ProcessSym.tsx", "TypeScript React", 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/process/creator.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/process/execute.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/switch/SwitchSym.tsx", "TypeScript React", 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/switch/creator.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/switch/execute.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/symTypes.ts", "TypeScript", 123, 0, 0, 0, 0, 0, 0, 0, 0, 9, 132
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/terminalEnd/TerminalEndSym.tsx", "TypeScript React", 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 14
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/terminalEnd/creator.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/terminalEnd/execute.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/terminalStart/TerminalStartSym.tsx", "TypeScript React", 0, 22, 0, 0, 0, 0, 0, 0, 1, 5, 28
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/terminalStart/creator.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/terminalStart/execute.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/types.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/util.tsx", "TypeScript React", 0, 47, 0, 0, 0, 0, 0, 0, 0, 10, 57
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/while/WhileSym.tsx", "TypeScript React", 0, 86, 0, 0, 0, 0, 0, 0, 0, 6, 92
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/while/creator.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/while/execute.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 1, 3, 53
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/lib/constants.tsx", "TypeScript React", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 8
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/lib/fbeToProgram.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 3, 61
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/lib/file.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/lib/image.tsx", "TypeScript React", 0, 17, 0, 0, 0, 0, 0, 0, 0, 9, 26
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/lib/logger.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 0, 12, 9, 83
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/lib/notImplement.tsx", "TypeScript React", 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/lib/sleep.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/lib/typechecker.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 7, 55
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/lib/useDialog.tsx", "TypeScript React", 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/app/actions.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 10, 33
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/app/operations.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 11, 105
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/app/reducers.ts", "TypeScript", 115, 0, 0, 0, 0, 0, 0, 0, 8, 25, 148
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/app/selectors.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 11, 33
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/app/types.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/items/actions.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/items/operations.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 14, 85
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/items/reducers.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 0, 4, 4, 73
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/items/selectors.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/items/types.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 1, 9, 53
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/meta/actions.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/meta/operations.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/meta/reducers.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/meta/selectors.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/meta/types.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/root/reducer.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/store.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 9, 29
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/style/global.css", "CSS", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/style/media.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 8, 7, 33
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/style/useHeaderHeight.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 3, 3, 23
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/style/util.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/test.log", "Log", 0, 0, 0, 0, 0, 99, 0, 0, 0, 24, 123
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/tsconfig.json", "JSON with Comments", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 24
"Total", "-", 1748, 3173, 6, 24, 4, 99, 27372, 20, 392, 727, 33565